geoName,Donald Trump,Joe Biden
Pyrénées-Orientales,72,28
Quincy IL-Hannibal MO-Keokuk IA,53,47
Raleigh-Durham (Fayetteville) NC,55,45
Rapid City SD,60,40
Reno NV,54,46
Rhône,66,34
Richmond-Petersburg VA,57,43
Roanoke-Lynchburg VA,56,44
Rochester MN-Mason City IA-Austin MN,57,43
Rochester NY,55,45
Rockford IL,57,43
Sacramento-Stockton-Modesto CA,60,40
Salisbury MD,52,48
Salt Lake City UT,55,45
San Angelo TX,56,44
San Antonio TX,59,41
San Diego CA,60,40
San Francisco-Oakland-San Jose CA,58,42
Santa Barbara-Santa Maria-San Luis Obispo CA,59,41
Sarthe,67,33
Savannah GA,57,43
Savoie,73,27
Saône-et-Loire,81,19
Seattle-Tacoma WA,57,43
Seine-Maritime,70,30
Seine-Saint-Denis,74,26
Seine-et-Marne,70,30
Sherman TX-Ada OK,58,42
Shreveport LA,60,40
Sioux City IA,60,40
Sioux Falls(Mitchell) SD,57,43
Somme,73,27
South Bend-Elkhart IN,57,43
Spokane WA,56,44
Springfield MO,53,47
Springfield-Holyoke MA,59,41
St. Joseph MO,57,43
St. Louis MO,56,44
Syracuse NY,56,44
Tallahassee FL-Thomasville GA,55,45
Tampa-St. Petersburg (Sarasota) FL,56,44
Tarn,67,33
Tarn-et-Garonne,80,20
Terre Haute IN,53,47
Territoire de Belfort,74,26
Toledo OH,57,43
Topeka KS,56,44
Traverse City-Cadillac MI,51,49
Tri-Cities TN-VA,55,45
Tucson (Sierra Vista) AZ,57,43
Tulsa OK,57,43
Twin Falls ID,54,46
Tyler-Longview(Lufkin & Nacogdoches) TX,57,43
Utica NY,58,42
Val-d'Oise,75,25
Val-de-Marne,69,31
Var,72,28
Vaucluse,73,27
Vendee,71,29
Victoria TX,63,37
Vienne,75,25
Vosges,75,25
Waco-Temple-Bryan TX,60,40
Washington DC (Hagerstown MD),55,45
Watertown NY,55,45
Wausau-Rhinelander WI,56,44
West Palm Beach-Ft. Pierce FL,58,42
Wheeling WV-Steubenville OH,62,38
Wichita Falls TX & Lawton OK,58,42
Wichita-Hutchinson KS,56,44
Wilkes Barre-Scranton PA,53,47
Wilmington NC,54,46
Yakima-Pasco-Richland-Kennewick WA,59,41
Yonne,79,21
Youngstown OH,57,43
Yuma AZ-El Centro CA,63,37
Yvelines,66,34
Zanesville OH,52,48
